+--------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
|  Algorithm   |                                                A_common |                                                  A_cstm |                                                   A_opt |                                                E_common |                                                  E_cstm |                                                   E_opt |                                                L_common |                                                  L_cstm |                                                   L_opt |                                             Util_common |                                               Util_cstm |                                                Util_opt |                                             chip_common |                                               chip_cstm |                                                chip_opt |
|   whisper    |   [['RELU', '0.032'], ['RELU6', '0.032'], ['AVGPOOL2D', |    [['GELU', '0.032'], ['LINEAR', '87.299'], ['CONV1D', |    [['GELU', '0.032'], ['LINEAR', '87.299'], ['CONV1D', |   [['RELU', '0.000'], ['RELU6', '0.000'], ['AVGPOOL2D', |     [['GELU', '0.000'], ['LINEAR', '0.000'], ['CONV1D', |     [['GELU', '0.000'], ['LINEAR', '0.000'], ['CONV1D', |   [['RELU', '0.001'], ['RELU6', '0.001'], ['AVGPOOL2D', |     [['GELU', '0.001'], ['LINEAR', '0.095'], ['CONV1D', |     [['GELU', '0.001'], ['LINEAR', '0.095'], ['CONV1D', |   [['RELU', '0.001'], ['RELU6', '0.000'], ['AVGPOOL2D', |       [['GELU', '0.000'], ['LINEAR', '1468006400.000'], |       [['GELU', '0.000'], ['LINEAR', '1468006400.000'], |            [{'RELU', 'MAXPOOL2D', 'CONV2D', 'ROIALIGN', |                        [{'GELU'}, {'LINEAR', 'CONV1D'}] |                        [{'GELU'}, {'LINEAR', 'CONV1D'}] |
|              | '0.004'], ['MAXPOOL2D', '0.004'], ['CONV2D', '43.649'], |                                              '87.299']] |                                              '87.299']] |  '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', '0.000'], |                                               '0.000']] |                                               '0.000']] |  '0.001'], ['MAXPOOL2D', '0.001'], ['CONV2D', '0.063'], |                                               '0.095']] |                                               '0.095']] |            '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |                          ['CONV1D', '86318776320.000']] |                          ['CONV1D', '86318776320.000']] |         'CONVTRANSPOSE2D', 'LASTLEVELMAXPOOL', 'RELU6', |                                                         |                                                         |
|              |   ['ROIALIGN', '0.004'], ['CONVTRANSPOSE2D', '43.649'], |                                                         |                                                         |    ['ROIALIGN', '0.000'], ['CONVTRANSPOSE2D', '0.000'], |                                                         |                                                         |    ['ROIALIGN', '0.001'], ['CONVTRANSPOSE2D', '0.063'], |                                                         |                                                         |             '199270896896.000'], ['ROIALIGN', '0.000'], |                                                         |                                                         |    'AVGPOOL2D'}, {'GELU', 'PERMUTE', 'TANH', 'FLATTEN', |                                                         |                                                         |
|              |       ['LASTLEVELMAXPOOL', '0.004'], ['GELU', '0.032'], |                                                         |                                                         |       ['LASTLEVELMAXPOOL', '0.000'], ['GELU', '0.000'], |                                                         |                                                         |       ['LASTLEVELMAXPOOL', '0.001'], ['GELU', '0.001'], |                                                         |                                                         |                    ['CONVTRANSPOSE2D', '12845056.000'], |                                                         |                                                         |       'SILU', 'LINEAR', 'ADAPTIVEAVGPOOL2D', 'CONV1D'}] |                                                         |                                                         |
|              |    ['TANH', '0.019'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |    ['TANH', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |    ['TANH', '0.001'], ['PERMUTE', '0.001'], ['FLATTEN', |                                                         |                                                         |       ['LASTLEVELMAXPOOL', '0.000'], ['GELU', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |      '0.000'], ['SILU', '0.032'], ['LINEAR', '43.649'], |                                                         |                                                         |       '0.000'], ['SILU', '0.000'], ['LINEAR', '0.000'], |                                                         |                                                         |       '0.001'], ['SILU', '0.001'], ['LINEAR', '0.063'], |                                                         |                                                         |    ['TANH', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |   ['ADAPTIVEAVGPOOL2D', '0.004'], ['CONV1D', '43.649']] |                                                         |                                                         |    ['ADAPTIVEAVGPOOL2D', '0.000'], ['CONV1D', '0.000']] |                                                         |                                                         |    ['ADAPTIVEAVGPOOL2D', '0.001'], ['CONV1D', '0.063']] |                                                         |                                                         |                 '0.000'], ['SILU', '0.000'], ['LINEAR', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |     '60491376640.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                          ['CONV1D', '86347087872.000']] |                                                         |                                                         |                                                         |                                                         |                                                         |
|     gpt      |   [['RELU', '0.032'], ['RELU6', '0.032'], ['AVGPOOL2D', |               [['GELU', '0.032'], ['CONV1D', '43.649']] |               [['GELU', '0.032'], ['CONV1D', '43.649']] |   [['RELU', '0.000'], ['RELU6', '0.000'], ['AVGPOOL2D', |                [['GELU', '0.000'], ['CONV1D', '0.000']] |                [['GELU', '0.000'], ['CONV1D', '0.000']] |   [['RELU', '0.001'], ['RELU6', '0.001'], ['AVGPOOL2D', |                [['GELU', '0.001'], ['CONV1D', '0.095']] |                [['GELU', '0.001'], ['CONV1D', '0.095']] |   [['RELU', '0.001'], ['RELU6', '0.000'], ['AVGPOOL2D', |         [['GELU', '0.000'], ['CONV1D', '28311552.000']] |         [['GELU', '0.000'], ['CONV1D', '28311552.000']] |            [{'RELU', 'MAXPOOL2D', 'CONV2D', 'ROIALIGN', |                                    [{'GELU', 'CONV1D'}] |                                    [{'GELU', 'CONV1D'}] |
|              | '0.004'], ['MAXPOOL2D', '0.004'], ['CONV2D', '43.649'], |                                                         |                                                         |  '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', '0.000'], |                                                         |                                                         |  '0.001'], ['MAXPOOL2D', '0.001'], ['CONV2D', '0.063'], |                                                         |                                                         |            '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |                                                         |                                                         |         'CONVTRANSPOSE2D', 'LASTLEVELMAXPOOL', 'RELU6', |                                                         |                                                         |
|              |   ['ROIALIGN', '0.004'], ['CONVTRANSPOSE2D', '43.649'], |                                                         |                                                         |    ['ROIALIGN', '0.000'], ['CONVTRANSPOSE2D', '0.000'], |                                                         |                                                         |    ['ROIALIGN', '0.001'], ['CONVTRANSPOSE2D', '0.063'], |                                                         |                                                         |             '199270896896.000'], ['ROIALIGN', '0.000'], |                                                         |                                                         |    'AVGPOOL2D'}, {'GELU', 'PERMUTE', 'TANH', 'FLATTEN', |                                                         |                                                         |
|              |       ['LASTLEVELMAXPOOL', '0.004'], ['GELU', '0.032'], |                                                         |                                                         |       ['LASTLEVELMAXPOOL', '0.000'], ['GELU', '0.000'], |                                                         |                                                         |       ['LASTLEVELMAXPOOL', '0.001'], ['GELU', '0.001'], |                                                         |                                                         |                    ['CONVTRANSPOSE2D', '12845056.000'], |                                                         |                                                         |       'SILU', 'LINEAR', 'ADAPTIVEAVGPOOL2D', 'CONV1D'}] |                                                         |                                                         |
|              |    ['TANH', '0.019'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |    ['TANH', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |    ['TANH', '0.001'], ['PERMUTE', '0.001'], ['FLATTEN', |                                                         |                                                         |       ['LASTLEVELMAXPOOL', '0.000'], ['GELU', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |      '0.000'], ['SILU', '0.032'], ['LINEAR', '43.649'], |                                                         |                                                         |       '0.000'], ['SILU', '0.000'], ['LINEAR', '0.000'], |                                                         |                                                         |       '0.001'], ['SILU', '0.001'], ['LINEAR', '0.063'], |                                                         |                                                         |    ['TANH', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |   ['ADAPTIVEAVGPOOL2D', '0.004'], ['CONV1D', '43.649']] |                                                         |                                                         |    ['ADAPTIVEAVGPOOL2D', '0.000'], ['CONV1D', '0.000']] |                                                         |                                                         |    ['ADAPTIVEAVGPOOL2D', '0.001'], ['CONV1D', '0.063']] |                                                         |                                                         |                 '0.000'], ['SILU', '0.000'], ['LINEAR', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |     '60491376640.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                          ['CONV1D', '86347087872.000']] |                                                         |                                                         |                                                         |                                                         |                                                         |
|     dpt      |   [['RELU', '0.032'], ['RELU6', '0.032'], ['AVGPOOL2D', |     [['GELU', '0.032'], ['LINEAR', '175.641'], ['TANH', |     [['GELU', '0.032'], ['LINEAR', '175.641'], ['SILU', |   [['RELU', '0.000'], ['RELU6', '0.000'], ['AVGPOOL2D', |       [['GELU', '0.000'], ['LINEAR', '0.000'], ['TANH', |       [['GELU', '0.000'], ['LINEAR', '0.000'], ['SILU', |   [['RELU', '0.001'], ['RELU6', '0.001'], ['AVGPOOL2D', |       [['GELU', '0.001'], ['LINEAR', '0.127'], ['TANH', |       [['GELU', '0.001'], ['LINEAR', '0.127'], ['SILU', |   [['RELU', '0.001'], ['RELU6', '0.000'], ['AVGPOOL2D', |        [['GELU', '0.000'], ['LINEAR', '303038464.000'], |      [['GELU', '0.000'], ['LINEAR', '54024732672.000'], |            [{'RELU', 'MAXPOOL2D', 'CONV2D', 'ROIALIGN', |                            [{'GELU', 'LINEAR', 'TANH'}] |                    [{'GELU', 'LINEAR', 'SILU', 'TANH'}] |
|              | '0.004'], ['MAXPOOL2D', '0.004'], ['CONV2D', '43.649'], |                                               '0.019']] |                            '0.032'], ['TANH', '0.019']] |  '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', '0.000'], |                                               '0.000']] |                            '0.000'], ['TANH', '0.000']] |  '0.001'], ['MAXPOOL2D', '0.001'], ['CONV2D', '0.063'], |                                               '0.001']] |                            '0.001'], ['TANH', '0.001']] |            '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |                                      ['TANH', '0.000']] |                   ['SILU', '0.000'], ['TANH', '0.000']] |         'CONVTRANSPOSE2D', 'LASTLEVELMAXPOOL', 'RELU6', |                                                         |                                                         |
|              |   ['ROIALIGN', '0.004'], ['CONVTRANSPOSE2D', '43.649'], |                                                         |                                                         |    ['ROIALIGN', '0.000'], ['CONVTRANSPOSE2D', '0.000'], |                                                         |                                                         |    ['ROIALIGN', '0.001'], ['CONVTRANSPOSE2D', '0.063'], |                                                         |                                                         |             '199270896896.000'], ['ROIALIGN', '0.000'], |                                                         |                                                         |    'AVGPOOL2D'}, {'GELU', 'PERMUTE', 'TANH', 'FLATTEN', |                                                         |                                                         |
|              |       ['LASTLEVELMAXPOOL', '0.004'], ['GELU', '0.032'], |                                                         |                                                         |       ['LASTLEVELMAXPOOL', '0.000'], ['GELU', '0.000'], |                                                         |                                                         |       ['LASTLEVELMAXPOOL', '0.001'], ['GELU', '0.001'], |                                                         |                                                         |                    ['CONVTRANSPOSE2D', '12845056.000'], |                                                         |                                                         |       'SILU', 'LINEAR', 'ADAPTIVEAVGPOOL2D', 'CONV1D'}] |                                                         |                                                         |
|              |    ['TANH', '0.019'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |    ['TANH', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |    ['TANH', '0.001'], ['PERMUTE', '0.001'], ['FLATTEN', |                                                         |                                                         |       ['LASTLEVELMAXPOOL', '0.000'], ['GELU', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |      '0.000'], ['SILU', '0.032'], ['LINEAR', '43.649'], |                                                         |                                                         |       '0.000'], ['SILU', '0.000'], ['LINEAR', '0.000'], |                                                         |                                                         |       '0.001'], ['SILU', '0.001'], ['LINEAR', '0.063'], |                                                         |                                                         |    ['TANH', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |   ['ADAPTIVEAVGPOOL2D', '0.004'], ['CONV1D', '43.649']] |                                                         |                                                         |    ['ADAPTIVEAVGPOOL2D', '0.000'], ['CONV1D', '0.000']] |                                                         |                                                         |    ['ADAPTIVEAVGPOOL2D', '0.001'], ['CONV1D', '0.063']] |                                                         |                                                         |                 '0.000'], ['SILU', '0.000'], ['LINEAR', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |     '60491376640.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                          ['CONV1D', '86347087872.000']] |                                                         |                                                         |                                                         |                                                         |                                                         |
|    llama     |   [['RELU', '0.032'], ['RELU6', '0.032'], ['AVGPOOL2D', |              [['LINEAR', '175.641'], ['SILU', '0.032']] |     [['GELU', '0.032'], ['LINEAR', '175.641'], ['SILU', |   [['RELU', '0.000'], ['RELU6', '0.000'], ['AVGPOOL2D', |                [['LINEAR', '0.000'], ['SILU', '0.000']] |       [['GELU', '0.000'], ['LINEAR', '0.000'], ['SILU', |   [['RELU', '0.001'], ['RELU6', '0.001'], ['AVGPOOL2D', |                [['LINEAR', '0.127'], ['SILU', '0.001']] |       [['GELU', '0.001'], ['LINEAR', '0.127'], ['SILU', |   [['RELU', '0.001'], ['RELU6', '0.000'], ['AVGPOOL2D', |       [['LINEAR', '6979321856.000'], ['SILU', '0.000']] |      [['GELU', '0.000'], ['LINEAR', '54024732672.000'], |            [{'RELU', 'MAXPOOL2D', 'CONV2D', 'ROIALIGN', |                                    [{'LINEAR', 'SILU'}] |                    [{'GELU', 'LINEAR', 'SILU', 'TANH'}] |
|              | '0.004'], ['MAXPOOL2D', '0.004'], ['CONV2D', '43.649'], |                                                         |                            '0.032'], ['TANH', '0.019']] |  '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', '0.000'], |                                                         |                            '0.000'], ['TANH', '0.000']] |  '0.001'], ['MAXPOOL2D', '0.001'], ['CONV2D', '0.063'], |                                                         |                            '0.001'], ['TANH', '0.001']] |            '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |                                                         |                   ['SILU', '0.000'], ['TANH', '0.000']] |         'CONVTRANSPOSE2D', 'LASTLEVELMAXPOOL', 'RELU6', |                                                         |                                                         |
|              |   ['ROIALIGN', '0.004'], ['CONVTRANSPOSE2D', '43.649'], |                                                         |                                                         |    ['ROIALIGN', '0.000'], ['CONVTRANSPOSE2D', '0.000'], |                                                         |                                                         |    ['ROIALIGN', '0.001'], ['CONVTRANSPOSE2D', '0.063'], |                                                         |                                                         |             '199270896896.000'], ['ROIALIGN', '0.000'], |                                                         |                                                         |    'AVGPOOL2D'}, {'GELU', 'PERMUTE', 'TANH', 'FLATTEN', |                                                         |                                                         |
|              |       ['LASTLEVELMAXPOOL', '0.004'], ['GELU', '0.032'], |                                                         |                                                         |       ['LASTLEVELMAXPOOL', '0.000'], ['GELU', '0.000'], |                                                         |                                                         |       ['LASTLEVELMAXPOOL', '0.001'], ['GELU', '0.001'], |                                                         |                                                         |                    ['CONVTRANSPOSE2D', '12845056.000'], |                                                         |                                                         |       'SILU', 'LINEAR', 'ADAPTIVEAVGPOOL2D', 'CONV1D'}] |                                                         |                                                         |
|              |    ['TANH', '0.019'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |    ['TANH', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |    ['TANH', '0.001'], ['PERMUTE', '0.001'], ['FLATTEN', |                                                         |                                                         |       ['LASTLEVELMAXPOOL', '0.000'], ['GELU', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |      '0.000'], ['SILU', '0.032'], ['LINEAR', '43.649'], |                                                         |                                                         |       '0.000'], ['SILU', '0.000'], ['LINEAR', '0.000'], |                                                         |                                                         |       '0.001'], ['SILU', '0.001'], ['LINEAR', '0.063'], |                                                         |                                                         |    ['TANH', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |   ['ADAPTIVEAVGPOOL2D', '0.004'], ['CONV1D', '43.649']] |                                                         |                                                         |    ['ADAPTIVEAVGPOOL2D', '0.000'], ['CONV1D', '0.000']] |                                                         |                                                         |    ['ADAPTIVEAVGPOOL2D', '0.001'], ['CONV1D', '0.063']] |                                                         |                                                         |                 '0.000'], ['SILU', '0.000'], ['LINEAR', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |     '60491376640.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                          ['CONV1D', '86347087872.000']] |                                                         |                                                         |                                                         |                                                         |                                                         |
|     dino     |   [['RELU', '0.032'], ['RELU6', '0.032'], ['AVGPOOL2D', |              [['GELU', '0.032'], ['LINEAR', '175.641']] |     [['GELU', '0.032'], ['LINEAR', '175.641'], ['SILU', |   [['RELU', '0.000'], ['RELU6', '0.000'], ['AVGPOOL2D', |                [['GELU', '0.000'], ['LINEAR', '0.000']] |       [['GELU', '0.000'], ['LINEAR', '0.000'], ['SILU', |   [['RELU', '0.001'], ['RELU6', '0.001'], ['AVGPOOL2D', |                [['GELU', '0.001'], ['LINEAR', '0.127']] |       [['GELU', '0.001'], ['LINEAR', '0.127'], ['SILU', |   [['RELU', '0.001'], ['RELU6', '0.000'], ['AVGPOOL2D', |        [['GELU', '0.000'], ['LINEAR', '301989888.000']] |      [['GELU', '0.000'], ['LINEAR', '54024732672.000'], |            [{'RELU', 'MAXPOOL2D', 'CONV2D', 'ROIALIGN', |                                    [{'GELU', 'LINEAR'}] |                    [{'GELU', 'LINEAR', 'SILU', 'TANH'}] |
|              | '0.004'], ['MAXPOOL2D', '0.004'], ['CONV2D', '43.649'], |                                                         |                            '0.032'], ['TANH', '0.019']] |  '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', '0.000'], |                                                         |                            '0.000'], ['TANH', '0.000']] |  '0.001'], ['MAXPOOL2D', '0.001'], ['CONV2D', '0.063'], |                                                         |                            '0.001'], ['TANH', '0.001']] |            '0.000'], ['MAXPOOL2D', '0.000'], ['CONV2D', |                                                         |                   ['SILU', '0.000'], ['TANH', '0.000']] |         'CONVTRANSPOSE2D', 'LASTLEVELMAXPOOL', 'RELU6', |                                                         |                                                         |
|              |   ['ROIALIGN', '0.004'], ['CONVTRANSPOSE2D', '43.649'], |                                                         |                                                         |    ['ROIALIGN', '0.000'], ['CONVTRANSPOSE2D', '0.000'], |                                                         |                                                         |    ['ROIALIGN', '0.001'], ['CONVTRANSPOSE2D', '0.063'], |                                                         |                                                         |             '199270896896.000'], ['ROIALIGN', '0.000'], |                                                         |                                                         |    'AVGPOOL2D'}, {'GELU', 'PERMUTE', 'TANH', 'FLATTEN', |                                                         |                                                         |
|              |       ['LASTLEVELMAXPOOL', '0.004'], ['GELU', '0.032'], |                                                         |                                                         |       ['LASTLEVELMAXPOOL', '0.000'], ['GELU', '0.000'], |                                                         |                                                         |       ['LASTLEVELMAXPOOL', '0.001'], ['GELU', '0.001'], |                                                         |                                                         |                    ['CONVTRANSPOSE2D', '12845056.000'], |                                                         |                                                         |       'SILU', 'LINEAR', 'ADAPTIVEAVGPOOL2D', 'CONV1D'}] |                                                         |                                                         |
|              |    ['TANH', '0.019'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |    ['TANH', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |    ['TANH', '0.001'], ['PERMUTE', '0.001'], ['FLATTEN', |                                                         |                                                         |       ['LASTLEVELMAXPOOL', '0.000'], ['GELU', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |      '0.000'], ['SILU', '0.032'], ['LINEAR', '43.649'], |                                                         |                                                         |       '0.000'], ['SILU', '0.000'], ['LINEAR', '0.000'], |                                                         |                                                         |       '0.001'], ['SILU', '0.001'], ['LINEAR', '0.063'], |                                                         |                                                         |    ['TANH', '0.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |   ['ADAPTIVEAVGPOOL2D', '0.004'], ['CONV1D', '43.649']] |                                                         |                                                         |    ['ADAPTIVEAVGPOOL2D', '0.000'], ['CONV1D', '0.000']] |                                                         |                                                         |    ['ADAPTIVEAVGPOOL2D', '0.001'], ['CONV1D', '0.063']] |                                                         |                                                         |                 '0.000'], ['SILU', '0.000'], ['LINEAR', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |     '60491376640.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                          ['CONV1D', '86347087872.000']] |                                                         |                                                         |                                                         |                                                         |                                                         |
