+--------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+---------------------------------------------------------+
|  Algorithm   |                                                A_common |                                                  A_cstm |                                                   A_opt |                                                E_common |                                                  E_cstm |                                                   E_opt |                                                L_common |                                                  L_cstm |                                                   L_opt |                                             Util_common |                                               Util_cstm |                                                Util_opt |                                             chip_common |                                               chip_cstm |                                                chip_opt |
|   whisper    |            [['AVGPOOL2D', '0.002'], ['RELU6', '0.016'], |   [['CONV1D', '21.825'], ['LINEAR', '21.825'], ['GELU', |   [['CONV1D', '21.825'], ['LINEAR', '21.825'], ['GELU', |            [['AVGPOOL2D', '0.000'], ['RELU6', '0.000'], |     [['CONV1D', '0.000'], ['LINEAR', '0.000'], ['GELU', |     [['CONV1D', '0.000'], ['LINEAR', '0.000'], ['GELU', |            [['AVGPOOL2D', '0.001'], ['RELU6', '0.001'], |     [['CONV1D', '0.063'], ['LINEAR', '0.063'], ['GELU', |     [['CONV1D', '0.063'], ['LINEAR', '0.063'], ['GELU', |            [['AVGPOOL2D', '0.000'], ['RELU6', '0.000'], |                [['CONV1D', '754974720.000'], ['LINEAR', |                [['CONV1D', '754974720.000'], ['LINEAR', |         [{'AVGPOOL2D'}, {'RELU6'}, {'CONVTRANSPOSE2D'}, |                        [{'CONV1D'}, {'LINEAR', 'GELU'}] |                        [{'CONV1D'}, {'LINEAR', 'GELU'}] |
|              |   ['CONVTRANSPOSE2D', '21.825'], ['ROIALIGN', '0.002'], |                                               '0.016']] |                                               '0.016']] |    ['CONVTRANSPOSE2D', '0.000'], ['ROIALIGN', '0.000'], |                                               '0.000']] |                                               '0.000']] |    ['CONVTRANSPOSE2D', '0.063'], ['ROIALIGN', '0.001'], |                                               '0.001']] |                                               '0.001']] |       ['CONVTRANSPOSE2D', '12845056.000'], ['ROIALIGN', |                 '187904819200.000'], ['GELU', '0.001']] |                 '187904819200.000'], ['GELU', '0.001']] |                {'ROIALIGN'}, {'MAXPOOL2D'}, {'PERMUTE', |                                                         |                                                         |
|              | ['MAXPOOL2D', '0.002'], ['ADAPTIVEAVGPOOL2D', '0.002'], |                                                         |                                                         | ['MAXPOOL2D', '0.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                                         |                                                         | ['MAXPOOL2D', '0.001'], ['ADAPTIVEAVGPOOL2D', '0.001'], |                                                         |                                                         | '0.000'], ['MAXPOOL2D', '0.000'], ['ADAPTIVEAVGPOOL2D', |                                                         |                                                         |  'ADAPTIVEAVGPOOL2D', 'FLATTEN'}, {'TANH'}, {'CONV1D'}, |                                                         |                                                         |
|              |    ['TANH', '0.010'], ['CONV1D', '21.825'], ['PERMUTE', |                                                         |                                                         |     ['TANH', '0.000'], ['CONV1D', '0.000'], ['PERMUTE', |                                                         |                                                         |     ['TANH', '0.001'], ['CONV1D', '0.063'], ['PERMUTE', |                                                         |                                                         |                 '0.000'], ['TANH', '0.000'], ['CONV1D', |                                                         |                                                         |          {'SILU', 'LINEAR', 'GELU'}, {'CONV2D', 'RELU', |                                                         |                                                         |
|              |      '0.000'], ['FLATTEN', '0.000'], ['SILU', '0.016'], |                                                         |                                                         |      '0.000'], ['FLATTEN', '0.000'], ['SILU', '0.000'], |                                                         |                                                         |      '0.001'], ['FLATTEN', '0.001'], ['SILU', '0.001'], |                                                         |                                                         |   '11626610688.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |                                    'LASTLEVELMAXPOOL'}] |                                                         |                                                         |
|              |     ['LINEAR', '21.825'], ['GELU', '0.016'], ['CONV2D', |                                                         |                                                         |      ['LINEAR', '0.000'], ['GELU', '0.000'], ['CONV2D', |                                                         |                                                         |      ['LINEAR', '0.063'], ['GELU', '0.001'], ['CONV2D', |                                                         |                                                         |                 '0.000'], ['SILU', '0.030'], ['LINEAR', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |      '21.825'], ['LASTLEVELMAXPOOL', '0.002'], ['RELU', |                                                         |                                                         |       '0.000'], ['LASTLEVELMAXPOOL', '0.000'], ['RELU', |                                                         |                                                         |       '0.063'], ['LASTLEVELMAXPOOL', '0.001'], ['RELU', |                                                         |                                                         |     '7167367424000.000'], ['GELU', '0.004'], ['CONV2D', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                               '0.016']] |                                                         |                                                         |                                               '0.000']] |                                                         |                                                         |                                               '0.001']] |                                                         |                                                         |    '3201616684160.000'], ['LASTLEVELMAXPOOL', '0.015'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                      ['RELU', '0.002']] |                                                         |                                                         |                                                         |                                                         |                                                         |
|     gpt      |            [['AVGPOOL2D', '0.002'], ['RELU6', '0.016'], |               [['CONV1D', '21.825'], ['GELU', '0.016']] |               [['CONV1D', '21.825'], ['GELU', '0.016']] |            [['AVGPOOL2D', '0.000'], ['RELU6', '0.000'], |                [['CONV1D', '0.000'], ['GELU', '0.000']] |                [['CONV1D', '0.000'], ['GELU', '0.000']] |            [['AVGPOOL2D', '0.001'], ['RELU6', '0.001'], |                [['CONV1D', '0.063'], ['GELU', '0.001']] |                [['CONV1D', '0.063'], ['GELU', '0.001']] |            [['AVGPOOL2D', '0.000'], ['RELU6', '0.000'], |      [['CONV1D', '10871635968.000'], ['GELU', '0.000']] |      [['CONV1D', '10871635968.000'], ['GELU', '0.000']] |         [{'AVGPOOL2D'}, {'RELU6'}, {'CONVTRANSPOSE2D'}, |                                    [{'CONV1D', 'GELU'}] |                                    [{'CONV1D', 'GELU'}] |
|              |   ['CONVTRANSPOSE2D', '21.825'], ['ROIALIGN', '0.002'], |                                                         |                                                         |    ['CONVTRANSPOSE2D', '0.000'], ['ROIALIGN', '0.000'], |                                                         |                                                         |    ['CONVTRANSPOSE2D', '0.063'], ['ROIALIGN', '0.001'], |                                                         |                                                         |       ['CONVTRANSPOSE2D', '12845056.000'], ['ROIALIGN', |                                                         |                                                         |                {'ROIALIGN'}, {'MAXPOOL2D'}, {'PERMUTE', |                                                         |                                                         |
|              | ['MAXPOOL2D', '0.002'], ['ADAPTIVEAVGPOOL2D', '0.002'], |                                                         |                                                         | ['MAXPOOL2D', '0.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                                         |                                                         | ['MAXPOOL2D', '0.001'], ['ADAPTIVEAVGPOOL2D', '0.001'], |                                                         |                                                         | '0.000'], ['MAXPOOL2D', '0.000'], ['ADAPTIVEAVGPOOL2D', |                                                         |                                                         |  'ADAPTIVEAVGPOOL2D', 'FLATTEN'}, {'TANH'}, {'CONV1D'}, |                                                         |                                                         |
|              |    ['TANH', '0.010'], ['CONV1D', '21.825'], ['PERMUTE', |                                                         |                                                         |     ['TANH', '0.000'], ['CONV1D', '0.000'], ['PERMUTE', |                                                         |                                                         |     ['TANH', '0.001'], ['CONV1D', '0.063'], ['PERMUTE', |                                                         |                                                         |                 '0.000'], ['TANH', '0.000'], ['CONV1D', |                                                         |                                                         |          {'SILU', 'LINEAR', 'GELU'}, {'CONV2D', 'RELU', |                                                         |                                                         |
|              |      '0.000'], ['FLATTEN', '0.000'], ['SILU', '0.016'], |                                                         |                                                         |      '0.000'], ['FLATTEN', '0.000'], ['SILU', '0.000'], |                                                         |                                                         |      '0.001'], ['FLATTEN', '0.001'], ['SILU', '0.001'], |                                                         |                                                         |   '11626610688.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |                                    'LASTLEVELMAXPOOL'}] |                                                         |                                                         |
|              |     ['LINEAR', '21.825'], ['GELU', '0.016'], ['CONV2D', |                                                         |                                                         |      ['LINEAR', '0.000'], ['GELU', '0.000'], ['CONV2D', |                                                         |                                                         |      ['LINEAR', '0.063'], ['GELU', '0.001'], ['CONV2D', |                                                         |                                                         |                 '0.000'], ['SILU', '0.030'], ['LINEAR', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |      '21.825'], ['LASTLEVELMAXPOOL', '0.002'], ['RELU', |                                                         |                                                         |       '0.000'], ['LASTLEVELMAXPOOL', '0.000'], ['RELU', |                                                         |                                                         |       '0.063'], ['LASTLEVELMAXPOOL', '0.001'], ['RELU', |                                                         |                                                         |     '7167367424000.000'], ['GELU', '0.004'], ['CONV2D', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                               '0.016']] |                                                         |                                                         |                                               '0.000']] |                                                         |                                                         |                                               '0.001']] |                                                         |                                                         |    '3201616684160.000'], ['LASTLEVELMAXPOOL', '0.015'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                      ['RELU', '0.002']] |                                                         |                                                         |                                                         |                                                         |                                                         |
|     dpt      |            [['AVGPOOL2D', '0.002'], ['RELU6', '0.016'], |      [['TANH', '0.010'], ['LINEAR', '21.825'], ['GELU', |       [['SILU', '0.016'], ['TANH', '0.010'], ['LINEAR', |            [['AVGPOOL2D', '0.000'], ['RELU6', '0.000'], |       [['TANH', '0.000'], ['LINEAR', '0.000'], ['GELU', |       [['SILU', '0.000'], ['TANH', '0.000'], ['LINEAR', |            [['AVGPOOL2D', '0.001'], ['RELU6', '0.001'], |       [['TANH', '0.001'], ['LINEAR', '0.063'], ['GELU', |       [['SILU', '0.001'], ['TANH', '0.001'], ['LINEAR', |            [['AVGPOOL2D', '0.000'], ['RELU6', '0.000'], |      [['TANH', '0.000'], ['LINEAR', '59395538944.000'], |       [['SILU', '0.030'], ['TANH', '0.000'], ['LINEAR', |         [{'AVGPOOL2D'}, {'RELU6'}, {'CONVTRANSPOSE2D'}, |                          [{'TANH'}, {'LINEAR', 'GELU'}] |                    [{'SILU', 'TANH', 'LINEAR', 'GELU'}] |
|              |   ['CONVTRANSPOSE2D', '21.825'], ['ROIALIGN', '0.002'], |                                               '0.016']] |                           '21.825'], ['GELU', '0.016']] |    ['CONVTRANSPOSE2D', '0.000'], ['ROIALIGN', '0.000'], |                                               '0.000']] |                            '0.000'], ['GELU', '0.000']] |    ['CONVTRANSPOSE2D', '0.063'], ['ROIALIGN', '0.001'], |                                               '0.001']] |                            '0.063'], ['GELU', '0.001']] |       ['CONVTRANSPOSE2D', '12845056.000'], ['ROIALIGN', |                                      ['GELU', '0.001']] |                '6974427103232.000'], ['GELU', '0.003']] |                {'ROIALIGN'}, {'MAXPOOL2D'}, {'PERMUTE', |                                                         |                                                         |
|              | ['MAXPOOL2D', '0.002'], ['ADAPTIVEAVGPOOL2D', '0.002'], |                                                         |                                                         | ['MAXPOOL2D', '0.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                                         |                                                         | ['MAXPOOL2D', '0.001'], ['ADAPTIVEAVGPOOL2D', '0.001'], |                                                         |                                                         | '0.000'], ['MAXPOOL2D', '0.000'], ['ADAPTIVEAVGPOOL2D', |                                                         |                                                         |  'ADAPTIVEAVGPOOL2D', 'FLATTEN'}, {'TANH'}, {'CONV1D'}, |                                                         |                                                         |
|              |    ['TANH', '0.010'], ['CONV1D', '21.825'], ['PERMUTE', |                                                         |                                                         |     ['TANH', '0.000'], ['CONV1D', '0.000'], ['PERMUTE', |                                                         |                                                         |     ['TANH', '0.001'], ['CONV1D', '0.063'], ['PERMUTE', |                                                         |                                                         |                 '0.000'], ['TANH', '0.000'], ['CONV1D', |                                                         |                                                         |          {'SILU', 'LINEAR', 'GELU'}, {'CONV2D', 'RELU', |                                                         |                                                         |
|              |      '0.000'], ['FLATTEN', '0.000'], ['SILU', '0.016'], |                                                         |                                                         |      '0.000'], ['FLATTEN', '0.000'], ['SILU', '0.000'], |                                                         |                                                         |      '0.001'], ['FLATTEN', '0.001'], ['SILU', '0.001'], |                                                         |                                                         |   '11626610688.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |                                    'LASTLEVELMAXPOOL'}] |                                                         |                                                         |
|              |     ['LINEAR', '21.825'], ['GELU', '0.016'], ['CONV2D', |                                                         |                                                         |      ['LINEAR', '0.000'], ['GELU', '0.000'], ['CONV2D', |                                                         |                                                         |      ['LINEAR', '0.063'], ['GELU', '0.001'], ['CONV2D', |                                                         |                                                         |                 '0.000'], ['SILU', '0.030'], ['LINEAR', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |      '21.825'], ['LASTLEVELMAXPOOL', '0.002'], ['RELU', |                                                         |                                                         |       '0.000'], ['LASTLEVELMAXPOOL', '0.000'], ['RELU', |                                                         |                                                         |       '0.063'], ['LASTLEVELMAXPOOL', '0.001'], ['RELU', |                                                         |                                                         |     '7167367424000.000'], ['GELU', '0.004'], ['CONV2D', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                               '0.016']] |                                                         |                                                         |                                               '0.000']] |                                                         |                                                         |                                               '0.001']] |                                                         |                                                         |    '3201616684160.000'], ['LASTLEVELMAXPOOL', '0.015'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                      ['RELU', '0.002']] |                                                         |                                                         |                                                         |                                                         |                                                         |
|    llama     |            [['AVGPOOL2D', '0.002'], ['RELU6', '0.016'], |               [['SILU', '0.016'], ['LINEAR', '21.825']] |       [['SILU', '0.016'], ['TANH', '0.010'], ['LINEAR', |            [['AVGPOOL2D', '0.000'], ['RELU6', '0.000'], |                [['SILU', '0.000'], ['LINEAR', '0.000']] |       [['SILU', '0.000'], ['TANH', '0.000'], ['LINEAR', |            [['AVGPOOL2D', '0.001'], ['RELU6', '0.001'], |                [['SILU', '0.001'], ['LINEAR', '0.063']] |       [['SILU', '0.001'], ['TANH', '0.001'], ['LINEAR', |            [['AVGPOOL2D', '0.000'], ['RELU6', '0.000'], |     [['SILU', '0.001'], ['LINEAR', '893353197568.000']] |       [['SILU', '0.030'], ['TANH', '0.000'], ['LINEAR', |         [{'AVGPOOL2D'}, {'RELU6'}, {'CONVTRANSPOSE2D'}, |                                    [{'SILU', 'LINEAR'}] |                    [{'SILU', 'TANH', 'LINEAR', 'GELU'}] |
|              |   ['CONVTRANSPOSE2D', '21.825'], ['ROIALIGN', '0.002'], |                                                         |                           '21.825'], ['GELU', '0.016']] |    ['CONVTRANSPOSE2D', '0.000'], ['ROIALIGN', '0.000'], |                                                         |                            '0.000'], ['GELU', '0.000']] |    ['CONVTRANSPOSE2D', '0.063'], ['ROIALIGN', '0.001'], |                                                         |                            '0.063'], ['GELU', '0.001']] |       ['CONVTRANSPOSE2D', '12845056.000'], ['ROIALIGN', |                                                         |                '6974427103232.000'], ['GELU', '0.003']] |                {'ROIALIGN'}, {'MAXPOOL2D'}, {'PERMUTE', |                                                         |                                                         |
|              | ['MAXPOOL2D', '0.002'], ['ADAPTIVEAVGPOOL2D', '0.002'], |                                                         |                                                         | ['MAXPOOL2D', '0.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                                         |                                                         | ['MAXPOOL2D', '0.001'], ['ADAPTIVEAVGPOOL2D', '0.001'], |                                                         |                                                         | '0.000'], ['MAXPOOL2D', '0.000'], ['ADAPTIVEAVGPOOL2D', |                                                         |                                                         |  'ADAPTIVEAVGPOOL2D', 'FLATTEN'}, {'TANH'}, {'CONV1D'}, |                                                         |                                                         |
|              |    ['TANH', '0.010'], ['CONV1D', '21.825'], ['PERMUTE', |                                                         |                                                         |     ['TANH', '0.000'], ['CONV1D', '0.000'], ['PERMUTE', |                                                         |                                                         |     ['TANH', '0.001'], ['CONV1D', '0.063'], ['PERMUTE', |                                                         |                                                         |                 '0.000'], ['TANH', '0.000'], ['CONV1D', |                                                         |                                                         |          {'SILU', 'LINEAR', 'GELU'}, {'CONV2D', 'RELU', |                                                         |                                                         |
|              |      '0.000'], ['FLATTEN', '0.000'], ['SILU', '0.016'], |                                                         |                                                         |      '0.000'], ['FLATTEN', '0.000'], ['SILU', '0.000'], |                                                         |                                                         |      '0.001'], ['FLATTEN', '0.001'], ['SILU', '0.001'], |                                                         |                                                         |   '11626610688.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |                                    'LASTLEVELMAXPOOL'}] |                                                         |                                                         |
|              |     ['LINEAR', '21.825'], ['GELU', '0.016'], ['CONV2D', |                                                         |                                                         |      ['LINEAR', '0.000'], ['GELU', '0.000'], ['CONV2D', |                                                         |                                                         |      ['LINEAR', '0.063'], ['GELU', '0.001'], ['CONV2D', |                                                         |                                                         |                 '0.000'], ['SILU', '0.030'], ['LINEAR', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |      '21.825'], ['LASTLEVELMAXPOOL', '0.002'], ['RELU', |                                                         |                                                         |       '0.000'], ['LASTLEVELMAXPOOL', '0.000'], ['RELU', |                                                         |                                                         |       '0.063'], ['LASTLEVELMAXPOOL', '0.001'], ['RELU', |                                                         |                                                         |     '7167367424000.000'], ['GELU', '0.004'], ['CONV2D', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                               '0.016']] |                                                         |                                                         |                                               '0.000']] |                                                         |                                                         |                                               '0.001']] |                                                         |                                                         |    '3201616684160.000'], ['LASTLEVELMAXPOOL', '0.015'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                      ['RELU', '0.002']] |                                                         |                                                         |                                                         |                                                         |                                                         |
|     dino     |            [['AVGPOOL2D', '0.002'], ['RELU6', '0.016'], |               [['LINEAR', '21.825'], ['GELU', '0.016']] |       [['SILU', '0.016'], ['TANH', '0.010'], ['LINEAR', |            [['AVGPOOL2D', '0.000'], ['RELU6', '0.000'], |                [['LINEAR', '0.000'], ['GELU', '0.000']] |       [['SILU', '0.000'], ['TANH', '0.000'], ['LINEAR', |            [['AVGPOOL2D', '0.001'], ['RELU6', '0.001'], |                [['LINEAR', '0.063'], ['GELU', '0.001']] |       [['SILU', '0.001'], ['TANH', '0.001'], ['LINEAR', |            [['AVGPOOL2D', '0.000'], ['RELU6', '0.000'], |      [['LINEAR', '77309411328.000'], ['GELU', '0.002']] |       [['SILU', '0.030'], ['TANH', '0.000'], ['LINEAR', |         [{'AVGPOOL2D'}, {'RELU6'}, {'CONVTRANSPOSE2D'}, |                                    [{'LINEAR', 'GELU'}] |                    [{'SILU', 'TANH', 'LINEAR', 'GELU'}] |
|              |   ['CONVTRANSPOSE2D', '21.825'], ['ROIALIGN', '0.002'], |                                                         |                           '21.825'], ['GELU', '0.016']] |    ['CONVTRANSPOSE2D', '0.000'], ['ROIALIGN', '0.000'], |                                                         |                            '0.000'], ['GELU', '0.000']] |    ['CONVTRANSPOSE2D', '0.063'], ['ROIALIGN', '0.001'], |                                                         |                            '0.063'], ['GELU', '0.001']] |       ['CONVTRANSPOSE2D', '12845056.000'], ['ROIALIGN', |                                                         |                '6974427103232.000'], ['GELU', '0.003']] |                {'ROIALIGN'}, {'MAXPOOL2D'}, {'PERMUTE', |                                                         |                                                         |
|              | ['MAXPOOL2D', '0.002'], ['ADAPTIVEAVGPOOL2D', '0.002'], |                                                         |                                                         | ['MAXPOOL2D', '0.000'], ['ADAPTIVEAVGPOOL2D', '0.000'], |                                                         |                                                         | ['MAXPOOL2D', '0.001'], ['ADAPTIVEAVGPOOL2D', '0.001'], |                                                         |                                                         | '0.000'], ['MAXPOOL2D', '0.000'], ['ADAPTIVEAVGPOOL2D', |                                                         |                                                         |  'ADAPTIVEAVGPOOL2D', 'FLATTEN'}, {'TANH'}, {'CONV1D'}, |                                                         |                                                         |
|              |    ['TANH', '0.010'], ['CONV1D', '21.825'], ['PERMUTE', |                                                         |                                                         |     ['TANH', '0.000'], ['CONV1D', '0.000'], ['PERMUTE', |                                                         |                                                         |     ['TANH', '0.001'], ['CONV1D', '0.063'], ['PERMUTE', |                                                         |                                                         |                 '0.000'], ['TANH', '0.000'], ['CONV1D', |                                                         |                                                         |          {'SILU', 'LINEAR', 'GELU'}, {'CONV2D', 'RELU', |                                                         |                                                         |
|              |      '0.000'], ['FLATTEN', '0.000'], ['SILU', '0.016'], |                                                         |                                                         |      '0.000'], ['FLATTEN', '0.000'], ['SILU', '0.000'], |                                                         |                                                         |      '0.001'], ['FLATTEN', '0.001'], ['SILU', '0.001'], |                                                         |                                                         |   '11626610688.000'], ['PERMUTE', '0.000'], ['FLATTEN', |                                                         |                                                         |                                    'LASTLEVELMAXPOOL'}] |                                                         |                                                         |
|              |     ['LINEAR', '21.825'], ['GELU', '0.016'], ['CONV2D', |                                                         |                                                         |      ['LINEAR', '0.000'], ['GELU', '0.000'], ['CONV2D', |                                                         |                                                         |      ['LINEAR', '0.063'], ['GELU', '0.001'], ['CONV2D', |                                                         |                                                         |                 '0.000'], ['SILU', '0.030'], ['LINEAR', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |      '21.825'], ['LASTLEVELMAXPOOL', '0.002'], ['RELU', |                                                         |                                                         |       '0.000'], ['LASTLEVELMAXPOOL', '0.000'], ['RELU', |                                                         |                                                         |       '0.063'], ['LASTLEVELMAXPOOL', '0.001'], ['RELU', |                                                         |                                                         |     '7167367424000.000'], ['GELU', '0.004'], ['CONV2D', |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                               '0.016']] |                                                         |                                                         |                                               '0.000']] |                                                         |                                                         |                                               '0.001']] |                                                         |                                                         |    '3201616684160.000'], ['LASTLEVELMAXPOOL', '0.015'], |                                                         |                                                         |                                                         |                                                         |                                                         |
|              |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                                         |                                      ['RELU', '0.002']] |                                                         |                                                         |                                                         |                                                         |                                                         |
